t,[HO2],Y_H2O2,Y_AR,Y_H,Y_H2O,[O2],Y_HO2,Y_H2,[O],Y_O2,[H2O],[AR],[OH],Y_O,[H],[H2],rho,[N2],Y_OH,[H2O2],Y_N2
0.0,0.0,0.0,0.98117240081936,0.0,0.0,0.00015233245468384247,0.0,0.00210693532879,0.0,0.01672066385185,0.0,0.007159625370138709,0.0,0.0,0.0,0.00030466490936751874,0.2915155718793,0.0,0.0,0.0,0.0
1e-07,1.2156285902920479e-11,2.5e-13,0.98117240081936,4.181e-11,2.6e-13,0.0001523324424437051,1.37636e-09,0.00210693524463,7.962516714248022e-14,0.01672066250832,4.2072744206837636e-15,0.007159625370138709,7.936244474634908e-14,4.37e-12,1.2091533789953903e-11,0.00030466489719790046,0.2915155718793,0.0,4.63e-12,2.142614598983507e-15,0.0
2e-07,2.430585933433189e-11,1.01e-12,0.98117240081936,8.321e-11,2e-12,0.00015233243004395293,2.75196e-09,0.00210693516019,3.097546547876804e-13,0.01672066114727,3.23636493898751e-14,0.007159625370138709,3.0870791142154365e-13,1.7e-11,2.4064494777853724e-11,0.00030466488498779383,0.2915155718793,0.0,1.801e-11,8.656162979893366e-15,0.0
3e-07,3.6448631972240703e-11,2.24e-12,0.98117240081936,1.2431e-10,6.59e-12,0.0001523324174858615,4.12679e-09,0.00210693507524,6.783626939850203e-13,0.01672065976884,1.0663822473963845e-13,0.007159625370138709,6.751807124316825e-13,3.723e-11,3.5950695178884706e-11,0.00030466487270394075,0.2915155718793,0.0,3.939e-11,1.919782680689222e-14,0.0
4e-07,4.85846038166469e-11,3.94e-12,0.98117240081936,1.6522e-10,1.528e-11,0.00015233240477052404,5.50085e-09,0.00210693498959,1.1748811847476258e-12,0.01672065837315,2.4725828133864577e-13,0.007159625370138709,1.1678106610299704e-12,6.448e-11,4.778194720823209e-11,0.000304664860318867,0.2915155718793,0.0,6.813e-11,3.3767606079980063e-14,0.0
5e-07,6.071386318954402e-11,6.1e-12,0.98117240081936,2.0604e-10,2.922e-11,0.0001523323918983049,6.87415e-09,0.00210693490304,1.7894708615704765e-12,0.01672065696024,4.728329175860752e-13,0.007159625370138709,1.7764846163092048e-12,9.821e-11,5.958717106151882e-11,0.0003046648478036523,0.2915155718793,0.0,1.0364e-10,5.227979621519756e-14,0.0
6e-07,7.2836233446945e-11,8.7e-12,0.98117240081936,2.4686e-10,4.947e-11,0.00015233237886956864,8.24667e-09,0.0021069348154,2.513567919291795e-12,0.01672065553015,8.005148676585606e-13,0.007159625370138709,2.4926321198734525e-12,1.3795e-10,7.139239491480556e-11,0.0003046648351308226,0.2915155718793,0.0,1.4542e-10,7.456298804462603e-14,0.0
7e-07,8.495180291084339e-11,1.174e-11,0.98117240081936,2.8776e-10,7.703e-11,0.0001523323656840418,9.61842e-09,0.00210693472653,3.339884013093049e-12,0.01672065408285,1.2464859562510398e-12,0.007159625370138709,3.3081969408305343e-12,1.833e-10,8.322075492459065e-11,0.0003046648222801337,0.2915155718793,0.0,1.93e-10,1.0061718156826547e-13,0.0
8e-07,9.70606599032327e-11,1.518e-11,0.98117240081936,3.2881e-10,1.1281e-10,0.00015233235234136006,1.098941e-08,0.00210693463626,4.261130798155703e-12,0.0167206526183,1.825471643835905e-12,0.007159625370138709,4.2166655307995405e-12,2.3386e-10,9.509249522781016e-11,0.00030466480922700334,0.2915155718793,0.0,2.46e-10,1.300995584502785e-13,0.0
9e-07,1.091627161021194e-10,1.903e-11,0.98117240081936,3.7009e-10,1.5766e-10,0.00015233233884070344,1.235963e-08,0.00210693454445,5.271659807245395e-12,0.01672065113641,2.5512264814038544e-12,0.007159625370138709,5.211695750567482e-12,2.8932e-10,1.0703075198096244e-10,0.00030466479595118756,0.2915155718793,0.0,3.0405e-10,1.6309582327462453e-13,0.0
1e-06,1.2125805982949703e-10,2.328e-11,0.98117240081936,4.1165e-10,2.1238e-10,0.0001523323251810698,1.372909e-08,0.00210693445097,6.365640364507297e-12,0.01672064963707,3.436695928710837e-12,0.007159625370138709,6.287973915928877e-12,3.4936e-10,1.1904998528185898e-10,0.00030466478243388814,0.2915155718793,0.0,3.6684e-10,1.9952027145734414e-13,0.0
1.1e-06,1.3334660276337206e-10,2.791e-11,0.98117240081936,4.5355e-10,2.7772e-10,0.00015233231136118364,1.509778e-08,0.00210693435569,7.538881671670754e-12,0.01672064812014,4.494016354278057e-12,0.007159625370138709,7.44087197934992e-12,4.1375e-10,1.3116754724787352e-10,0.0003046647686563069,0.2915155718793,0.0,4.341e-10,2.392014938305187e-13,0.0
1.2e-06,1.4542852154773155e-10,3.29e-11,0.98117240081936,4.9586e-10,3.5439e-10,0.00015233229737958735,1.646572e-08,0.0021069342585,8.786646304603715e-12,0.01672064658546,5.734676853638919e-12,0.007159625370138709,8.666104711632652e-12,4.8223e-10,1.4340368201594216e-10,0.0003046647546025379,0.2915155718793,0.0,5.0558e-10,2.819680812262295e-13,0.0
1.2999999999999998e-06,1.5750372786058197e-10,3.826e-11,0.98117240081936,5.3861e-10,4.4307e-10,0.00015233228323464104,1.78329e-08,0.00210693415928,1.0105654508137843e-11,0.01672064503285,7.1696810675859806e-12,0.007159625370138709,9.95990111108285e-12,5.5462e-10,1.5576706564475175e-10,0.00030466474025522887,0.2915155718793,0.0,5.8106e-10,3.2790573822843585e-13,0.0
1.4e-06,1.6957222170192334e-10,4.396e-11,0.98117240081936,5.8186e-10,5.4439e-10,0.00015233226892443153,1.919932e-08,0.00210693405792,1.1492262109863871e-11,0.0167206434621,8.809223545677053e-12,0.007159625370138709,1.1319347221845905e-11,6.3072e-10,1.682750502516761e-10,0.0003046647255984737,0.2915155718793,0.0,6.6037e-10,3.767573510852598e-13,0.0
1.5e-06,1.8163426803773627e-10,5e-11,0.98117240081936,6.2564e-10,6.5895e-10,0.00015233225444686338,2.056501e-08,0.00210693395433,1.294373598047485e-11,0.01672064187298,1.0663013382729099e-11,0.007159625370138709,1.2741357678899278e-11,7.1038e-10,1.8093631189540202e-10,0.0003046647106192584,0.2915155718793,0.0,7.4333e-10,4.285229197967013e-13,0.0
1.6e-06,1.936896019020401e-10,5.638e-11,0.98117240081936,6.7001e-10,7.8736e-10,0.00015233223979975013,2.192994e-08,0.00210693384841,1.4457707407904754e-11,0.01672064026525,1.274092149180603e-11,0.007159625370138709,1.4223704163060026e-11,7.9347e-10,1.937682026933034e-10,0.00030466469530312276,0.2915155718793,0.0,8.2981e-10,4.832024443627604e-13,0.0
1.6999999999999998e-06,2.0573857658280908e-10,6.307e-11,0.98117240081936,7.15e-10,9.3017e-10,0.00015233222498081412,2.329415e-08,0.00210693374005,1.603180768008756e-11,0.01672063863866,1.5051847876490063e-11,0.007159625370138709,1.576432976431313e-11,8.7986e-10,2.0677939870406696e-10,0.00030466467963416075,0.2915155718793,0.0,9.1969e-10,5.40538811031559e-13,0.0
1.8e-06,2.1778092711406246e-10,7.007e-11,0.98117240081936,7.6064e-10,1.08792e-09,0.00015233220998741334,2.465761e-08,0.00210693362918,1.7664214710818637e-11,0.01672063699292,1.7604530722116458e-11,0.007159625370138709,1.736117757264356e-11,9.6945e-10,2.199785759863797e-10,0.0003046646636022503,0.2915155718793,0.0,1.01285e-09,6.005320198030972e-13,0.0
1.9e-06,2.2981691846178103e-10,7.737e-11,0.98117240081936,8.0698e-10,1.26115e-09,0.00015233219481681473,2.602035e-08,0.00210693351569,1.9353470831134274e-11,0.01672063532773,2.040770821402049e-11,0.007159625370138709,1.901287631470796e-11,1.06216e-09,2.333801946380531e-10,0.0003046646471914853,0.2915155718793,0.0,1.10921e-09,6.630963660934157e-13,0.0
2e-06,2.4184655062596457e-10,8.496e-11,0.98117240081936,8.5404e-10,1.45037e-09,0.00015233217946637617,2.738237e-08,0.00210693339951,2.1097936163450305e-11,0.0167206336428,2.3469633082796578e-11,0.007159625370138709,2.0718054717162998e-11,1.1579e-09,2.469900386982117e-10,0.00030466463039174364,0.2915155718793,0.0,1.20869e-09,7.281461453185548e-13,0.0
2.1e-06,2.5386982360661335e-10,9.283e-11,0.98117240081936,9.0186e-10,1.65609e-09,0.00015233216393300018,2.874367e-08,0.00210693328056,2.289651745604395e-11,0.01672063193779,2.679855805903913e-11,0.007159625370138709,2.2475512915833226e-11,1.25661e-09,2.6081967624510466e-10,0.0003046646131914574,0.2915155718793,0.0,1.31122e-09,7.955956528945558e-13,0.0
2.2e-06,2.658868257257206e-10,1.0098e-10,0.98117240081936,9.5046e-10,1.8788e-09,0.0001523321482137714,3.010426e-08,0.00210693315874,2.474848587443335e-11,0.01672063021238,3.0402412236848676e-11,0.007159625370138709,2.4284736683214903e-11,1.35825e-09,2.748748913178566e-10,0.0003046645955761662,0.2915155718793,0.0,1.41677e-09,8.65444888821418e-13,0.0
2.3e-06,2.778976453052801e-10,1.094e-10,0.98117240081936,9.9989e-10,2.11898e-09,0.00015233213230531894,3.146415e-08,0.00210693303398,2.6652930375516195e-11,0.0167206284662,3.4288962892078774e-11,0.007159625370138709,2.6144526155132588e-11,1.46277e-09,2.89170144014279e-10,0.0003046645775357482,0.2915155718793,0.0,1.52527e-09,9.376081485151826e-13,0.0
